,animal,date,stim,start,end,score,pre-max,pre-min,pre-mean,pre-stdev,pre-n,post-max,post-min,post-mean,post-stdev,post-n
21,AM305,11/14/2018,5.0,14:37:10,14:39:10,0,37.005,36.379,36.59263606010017,0.07309364635872785,1198.0,38.976,34.459,37.60506788247214,0.545249134477968,3948.0
22,AM305,11/14/2018,,14:40:45,14:42:47,2,37.005,36.355,36.636202003338894,0.08805525869657238,1198.0,38.976,34.459,37.703396656534956,0.468012090828169,3948.0
23,AM305,11/15/2018,6.0,14:45:50,14:47:50,0,37.399,36.944,37.10840151515151,0.0998965898662067,264.0,38.302,36.641999999999996,37.73035193971532,0.30274280628312406,7166.0
24,AM305,11/15/2018,,14:49:10,14:51:10,1,37.399,36.825,37.01052631578948,0.11156024584811727,646.0,38.302,36.684,37.752056082589284,0.2562155426144458,7168.0
25,AM305,11/16/2018,7.0,14:34:15,14:36:15,2,36.745,36.129,36.433115671641794,0.0989328936005793,536.0,38.14,32.088,37.46125425652667,0.36200506305675645,3524.0
26,AM305,11/17/2018,8.0,14:30:25,14:32:25,0,37.051,34.118,36.7005421686747,0.17572109669070837,581.0,37.911,36.871,37.49406981919333,0.13842052566056273,3595.0
27,AM305,11/17/2018,,14:36:00,14:38:00,3,37.606,36.419000000000004,36.84708739495798,0.26651669221911406,595.0,37.872,37.225,37.49994140516523,0.10448937297970373,3601.0
28,AM305,11/18/2018,9.0,16:14:15,16:16:15,1-,36.968,35.75,36.68804066543438,0.15244382757423253,541.0,38.757,34.926,38.01901390433815,0.3854182148821505,3596.0
29,AM305,11/18/2018,,16:18:45,16:20:45,2,37.292,35.75,36.786903171953256,0.221121799333362,599.0,38.757,37.041,38.053956062291434,0.30683875024690915,3596.0
30,AM305,11/19/2018,10.0,12:24:32,12:26:32,1,37.001999999999995,36.175,36.596329805996476,0.2040157936027546,567.0,38.403,36.013000000000005,37.7254147632312,0.4062077744667261,3590.0
31,AM305,11/19/2018,,12:29:05,12:31:12,0,36.871,35.311,36.46339329805996,0.14595287790874725,567.0,38.403,36.013000000000005,37.81026794657763,0.26611119602945177,3594.0
